Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
1639348649,-53,31,11,19,33,
,,,,,,
1639348649,-53,31,12,19,33,
,,,,,,
1639348650,-53,31,12,19,33,
,,,,,,
1639348650,-53,31,12,19,33,
,,,,,,
1639348650,-52,31,13,19,32,
,,,,,,
1639348650,-52,31,13,19,32,
,,,,,,
1639348650,-52,31,13,19,32,
,,,,,,
1639348650,-53,32,13,19,33,
,,,,,,
1639348650,-51,31,13,19,32,
,,,,,,
1639348651,-53,32,13,19,33,
,,,,,,
1639348651,-52,32,13,20,33,
,,,,,,
1639348651,-52,32,12,20,33,
,,,,,,
1639348651,-53,32,11,19,33,
,,,,,,
1639348651,-51,32,12,19,32,
,,,,,,
1639348651,-52,32,13,20,33,
,,,,,,
1639348651,-52,33,11,20,33,
,,,,,,
1639348651,-51,33,11,20,33,
,,,,,,
1639348651,-51,33,11,20,33,
,,,,,,
1639348652,-52,33,10,20,33,
,,,,,,
1639348652,-52,33,9,20,33,
,,,,,,
1639348652,-53,32,9,19,33,
,,,,,,
1639348652,-53,31,9,19,33,
,,,,,,
1639348652,-54,31,9,19,33,
,,,,,,
1639348652,-54,30,8,19,33,
,,,,,,
1639348653,-54,31,7,19,33,
,,,,,,
1639348653,-54,32,7,20,34,
,,,,,,
1639348653,-54,30,7,19,33,
,,,,,,
1639348653,-53,31,7,19,33,
,,,,,,
1639348653,-54,30,7,19,33,
,,,,,,
1639348653,-53,30,8,19,32,
,,,,,,
1639348653,-53,31,8,19,33,
,,,,,,
1639348653,-54,31,8,19,33,
,,,,,,
1639348653,-53,31,8,19,33,
,,,,,,
1639348654,-54,30,8,19,33,
,,,,,,
1639348654,-53,30,8,19,32,
,,,,,,
1639348654,-53,32,8,19,33,
,,,,,,
1639348654,-54,31,8,19,33,
,,,,,,
1639348654,-54,30,9,19,33,
,,,,,,
1639348654,-54,29,9,18,32,
,,,,,,
1639348654,-54,30,10,19,33,
,,,,,,
1639348655,-54,30,11,19,33,
,,,,,,
1639348655,-56,33,13,20,35,
,,,,,,
1639348655,-48,33,17,20,32,
,,,,,,
1639348655,-45,38,24,21,32,
,,,,,,
1639348655,-41,37,30,20,30,
,,,,,,
1639348655,-31,36,37,21,28,
,,,,,,
1639348655,-29,38,40,23,30,
,,,,,,
1639348655,-28,38,40,24,30,
,,,,,,
1639348656,-21,36,44,23,28,
,,,,,,
1639348656,-3,26,62,20,20,
,,,,,,
1639348656,3,20,64,16,16,
,,,,,,
1639348656,6,2,60,3,3,
,,,,,,
1639348656,1,0,65,0,0,
,,,,,,
1639348656,-1,1,65,1,1,
,,,,,,
1639348656,0,4,57,3,3,
,,,,,,
1639348657,1,43,33,34,34,
,,,,,,
1639348657,-6,62,20,46,48,
,,,,,,
1639348657,-11,82,10,59,64,
,,,,,,
1639348657,-14,57,-13,40,45,
,,,,,,
1639348657,-12,58,-14,41,45,
,,,,,,
1639348657,-17,57,-19,39,45,
,,,,,,
1639348657,-16,57,-20,40,45,
,,,,,,
1639348657,-15,54,-19,37,42,
,,,,,,
1639348657,-15,57,-18,40,45,
,,,,,,
1639348658,-14,56,-19,39,44,
,,,,,,
1639348658,-14,56,-16,39,44,
,,,,,,
1639348658,-14,57,-17,40,45,
,,,,,,
1639348658,-15,57,-16,40,45,
,,,,,,
1639348658,-14,57,-17,40,45,
,,,,,,
1639348658,-14,56,-17,39,44,
,,,,,,
1639348658,-15,58,-17,40,45,
,,,,,,
1639348658,-9,58,-15,42,45,
,,,,,,
1639348659,8,59,-4,46,43,
,,,,,,
1639348659,8,58,-7,45,42,
,,,,,,
1639348659,17,59,-8,46,40,
